date,open,high,low,close,adj_close,volume,hub,ticker,source
2025-03-18,41.45000076293945,41.625,39.849998474121094,40.755001068115234,40.755001068115234,7887,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-19,42.505001068115234,43.939998626708984,41.959999084472656,43.35499954223633,43.35499954223633,16906,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-20,43.86000061035156,44.150001525878906,42.67499923706055,42.85499954223633,42.85499954223633,490,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-21,44.755001068115234,44.755001068115234,42.029998779296875,42.60499954223633,42.60499954223633,272,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-24,42.404998779296875,42.74800109863281,41.2400016784668,42.74800109863281,42.74800109863281,317,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-25,42.04999923706055,42.630001068115234,41.15999984741211,41.55500030517578,41.55500030517578,179,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-26,40.55500030517578,41.255001068115234,40.55500030517578,40.869998931884766,40.869998931884766,258,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-27,41.099998474121094,41.42499923706055,41.099998474121094,41.20199966430664,41.20199966430664,16,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-28,40.900001525878906,40.900001525878906,40.58700180053711,40.58700180053711,40.58700180053711,126,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-03-31,40.82500076293945,41.3849983215332,39.8849983215332,40.66699981689453,40.66699981689453,227,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-01,40.875,42.70000076293945,40.45000076293945,42.45000076293945,42.45000076293945,2018,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-02,42.474998474121094,42.95000076293945,40.869998931884766,41.26300048828125,41.26300048828125,3650,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-03,39.75,40.459999084472656,38.45500183105469,39.202999114990234,39.202999114990234,6652,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-04,39.25,39.25,35.26499938964844,36.4010009765625,36.4010009765625,3862,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-07,34.64500045776367,38.560001373291016,33.595001220703125,37.0,37.0,824,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-08,36.334999084472656,36.959999084472656,35.58000183105469,36.23099899291992,36.23099899291992,7614,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-09,34.599998474121094,35.39500045776367,33.30500030517578,33.66600036621094,33.66600036621094,13979,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-10,34.650001525878906,35.13999938964844,33.150001525878906,33.292999267578125,33.292999267578125,8928,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-11,33.724998474121094,34.05500030517578,32.80500030517578,33.4630012512207,33.4630012512207,12781,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-14,34.275001525878906,34.78499984741211,33.709999084472656,34.499000549316406,34.499000549316406,1590,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-15,34.5,35.525001525878906,34.16999816894531,34.40700149536133,34.40700149536133,2056,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-16,33.904998779296875,35.630001068115234,33.904998779296875,35.3120002746582,35.3120002746582,2861,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-17,35.599998474121094,35.834999084472656,35.30500030517578,35.65700149536133,35.65700149536133,279,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-21,35.65700149536133,35.65700149536133,35.65700149536133,35.65700149536133,35.65700149536133,0,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-22,35.849998474121094,35.849998474121094,34.025001525878906,34.24399948120117,34.24399948120117,6147,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-23,34.67499923706055,34.974998474121094,33.92499923706055,34.15999984741211,34.15999984741211,11557,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-24,34.04999923706055,34.13999938964844,33.08000183105469,33.57400131225586,33.57400131225586,12547,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-25,33.44499969482422,33.44499969482422,31.950000762939453,32.43199920654297,32.43199920654297,7188,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-28,32.70000076293945,32.70000076293945,32.275001525878906,32.39799880981445,32.39799880981445,72,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-29,30.899999618530273,31.856000900268555,30.899999618530273,31.856000900268555,31.856000900268555,361,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-04-30,31.875,32.755001068115234,31.655000686645508,32.31700134277344,32.31700134277344,231,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-01,32.029998779296875,32.279998779296875,31.649999618530273,32.14899826049805,32.14899826049805,3620,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-02,32.095001220703125,33.630001068115234,32.084999084472656,33.077999114990234,33.077999114990234,4782,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-05,32.790000915527344,33.064998626708984,32.599998474121094,32.93000030517578,32.93000030517578,3076,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-06,33.34000015258789,35.084999084472656,33.23500061035156,34.74300003051758,34.74300003051758,26225,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-07,34.6150016784668,35.51499938964844,34.1150016784668,34.53099822998047,34.53099822998047,16616,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-08,34.220001220703125,35.744998931884766,34.220001220703125,35.340999603271484,35.340999603271484,8950,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-09,35.70000076293945,35.9900016784668,34.31999969482422,34.61800003051758,34.61800003051758,7109,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-12,34.55500030517578,36.30500030517578,34.54499816894531,35.38999938964844,35.38999938964844,13448,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-13,35.01499938964844,36.150001525878906,35.0099983215332,35.74399948120117,35.74399948120117,7761,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-14,35.650001525878906,35.68000030517578,34.42499923706055,35.04800033569336,35.04800033569336,5197,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-15,35.345001220703125,35.494998931884766,34.45000076293945,35.29399871826172,35.29399871826172,8948,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-16,35.349998474121094,35.935001373291016,34.78499984741211,35.15599822998047,35.15599822998047,3808,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-19,35.0,35.459999084472656,34.900001525878906,35.224998474121094,35.224998474121094,3818,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-20,35.2599983215332,37.13999938964844,35.23500061035156,36.979000091552734,36.979000091552734,5472,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-21,37.25,37.775001525878906,36.43000030517578,36.62099838256836,36.62099838256836,6858,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-22,36.540000915527344,37.040000915527344,36.11000061035156,36.35599899291992,36.35599899291992,6320,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-23,36.400001525878906,36.77000045776367,35.880001068115234,36.45000076293945,36.45000076293945,469,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-27,36.974998474121094,37.00600051879883,36.685001373291016,37.00600051879883,37.00600051879883,381,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-28,36.79999923706055,36.9900016784668,36.6870002746582,36.6870002746582,36.6870002746582,75,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-29,35.15800094604492,35.15800094604492,35.15800094604492,35.15800094604492,35.15800094604492,3841,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-05-30,34.95500183105469,35.35499954223633,33.85499954223633,34.22800064086914,34.22800064086914,778,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-02,34.099998474121094,35.48500061035156,34.099998474121094,35.01499938964844,35.01499938964844,4186,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-03,35.26499938964844,36.0,34.970001220703125,35.847999572753906,35.847999572753906,3616,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-04,36.005001068115234,36.3650016784668,35.415000915527344,35.650001525878906,35.650001525878906,6565,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-05,35.70500183105469,36.59000015258789,35.70500183105469,36.393001556396484,36.393001556396484,4014,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-06,36.54999923706055,36.720001220703125,35.95500183105469,36.250999450683594,36.250999450683594,4610,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-09,36.14500045776367,36.244998931884766,35.45000076293945,35.60499954223633,35.60499954223633,4947,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-10,35.55500030517578,35.55500030517578,34.54999923706055,34.63800048828125,34.63800048828125,4626,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-11,35.165000915527344,35.91299819946289,35.060001373291016,35.91299819946289,35.91299819946289,4906,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-12,36.404998779296875,36.5,35.76499938964844,36.176998138427734,36.176998138427734,8371,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-13,37.595001220703125,38.459999084472656,37.10499954223633,37.89400100708008,37.89400100708008,9589,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-06-16,38.66999816894531,39.48500061035156,37.39500045776367,37.90599822998047,37.90599822998047,9549,TTF,TTF=F,Yahoo Finance (via yfinance)
