test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
FIN,fedavg,61,LTU|LVA-EST|TTF,3,5,0.001,,0.11336450022369715,0.06053828151248283,7.216757127607467,3.435219126406415
FIN,fedavg,62,LTU|LVA-EST|TTF,3,5,0.001,,0.11338348504336655,0.06030434673373058,7.21498259917435,3.419973029588831
FIN,fedavg,63,LTU|LVA-EST|TTF,3,5,0.001,,0.11342313383090985,0.06030918630733203,7.219216961066641,3.4203001619926807
FIN,fedavg,64,LTU|LVA-EST|TTF,3,5,0.001,,0.11316310080924535,0.06033089877646176,7.194125283968718,3.4120103281613057
FIN,fedavg,65,LTU|LVA-EST|TTF,3,5,0.001,,0.11346314441673044,0.06053136474029402,7.21966166415837,3.4313807330234285
FIN,fedavg,66,LTU|LVA-EST|TTF,3,5,0.001,,0.11356340349542006,0.06060901899462774,7.229268407241641,3.43949574206307
FIN,fedavg,67,LTU|LVA-EST|TTF,3,5,0.001,,0.11353712148189765,0.06064008765880034,7.22423990457346,3.4380744864694006
FIN,fedavg,68,LTU|LVA-EST|TTF,3,5,0.001,,0.11352602149625288,0.060483516469409145,7.2296203102204775,3.4315435786884403
FIN,fedavg,69,LTU|LVA-EST|TTF,3,5,0.001,,0.11327640281997184,0.060371926040810146,7.207277899346727,3.4222024014242765
FIN,fedavg,70,LTU|LVA-EST|TTF,3,5,0.001,,0.11300657362923087,0.05976495308779453,7.1945527393881825,3.3864544400305574
FIN,fedavg,71,LTU|LVA-EST|TTF,3,5,0.001,,0.11365994061195428,0.06088266000081383,7.229281905249254,3.451320273580222
FIN,fedavg,72,LTU|LVA-EST|TTF,3,5,0.001,,0.11341406527863122,0.060364188227485384,7.221993003867544,3.4264197172450603
FIN,fedavg,73,LTU|LVA-EST|TTF,3,5,0.001,,0.11325784476140442,0.06012109652862097,7.202913295368047,3.4027987189344286
FIN,fedavg,74,LTU|LVA-EST|TTF,3,5,0.001,,0.11351600908966818,0.060241053702313745,7.232361793250684,3.4220603789317194
FIN,fedavg,75,LTU|LVA-EST|TTF,3,5,0.001,,0.11341624646542894,0.060179198018760933,7.221975140496508,3.4152432210373465
FIN,fedavg,76,LTU|LVA-EST|TTF,3,5,0.001,,0.11338593256695521,0.06003113529205338,7.218675403379284,3.405886617872221
FIN,fedavg,77,LTU|LVA-EST|TTF,3,5,0.001,,0.11350914824167886,0.0603149771426427,7.226615028178858,3.4231824491640612
FIN,fedavg,78,LTU|LVA-EST|TTF,3,5,0.001,,0.11364812479229447,0.06023868951988647,7.238276696346782,3.4212613132472693
FIN,fedavg,79,LTU|LVA-EST|TTF,3,5,0.001,,0.11330551155633058,0.060122066838285436,7.21000818113679,3.4069449989816234
LTU,fedavg,1,FIN|LVA-EST|TTF,3,5,0.001,,0.10433999196264798,0.08469623664332802,4.7814210600476645,3.799806350128404
LTU,fedavg,2,FIN|LVA-EST|TTF,3,5,0.001,,0.0676302807040254,0.0555472187364197,3.149894533723739,2.537102634367244
LTU,fedavg,3,FIN|LVA-EST|TTF,3,5,0.001,,0.04633341684347463,0.03663784246926862,2.0816548701133555,1.64328278346925
LTU,fedavg,4,FIN|LVA-EST|TTF,3,5,0.001,,0.04352345082646144,0.035644793759776555,1.9704990490709235,1.615618983516406
LTU,fedavg,5,FIN|LVA-EST|TTF,3,5,0.001,,0.041099790258900516,0.0339046625858514,1.8647372494384962,1.539567533104585
