hub,date,features_file,symbol,n_agents,n_type_NoiseAgent,n_type_ValueAgent,n_type_MomentumAgent,mid_mean,mid_std,mid_min,mid_max,mid_median,spread_mean,spread_std,spread_min,spread_max,spread_median,fills_total,fills_mean_per_agent,vol_total,vol_mean_per_agent,vwap_proxy,price,target_next_price,target_next_date,log_ret_next
NBP,2021-02-03,data/simulated_trades_long/agent_features_NBP_2021-02-03.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.447000026702881,6.507999897003174,2021-02-04,0.009417263060212955
NBP,2021-02-04,data/simulated_trades_long/agent_features_NBP_2021-02-04.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.507999897003174,6.613999843597412,2021-02-05,0.01615641738179563
NBP,2021-02-05,data/simulated_trades_long/agent_features_NBP_2021-02-05.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.613999843597412,7.301000118255615,2021-02-08,0.09882275035872934
NBP,2021-02-08,data/simulated_trades_long/agent_features_NBP_2021-02-08.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.301000118255615,6.861999988555908,2021-02-09,-0.06201239850261997
NBP,2021-02-09,data/simulated_trades_long/agent_features_NBP_2021-02-09.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.861999988555908,6.632999897003174,2021-02-10,-0.03394176775303026
NBP,2021-02-10,data/simulated_trades_long/agent_features_NBP_2021-02-10.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.632999897003174,6.140999794006348,2021-02-11,-0.07706961321220884
NBP,2021-02-11,data/simulated_trades_long/agent_features_NBP_2021-02-11.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.140999794006348,6.210999965667725,2021-02-12,0.01133434624623919
NBP,2021-02-12,data/simulated_trades_long/agent_features_NBP_2021-02-12.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.210999965667725,5.919000148773193,2021-02-16,-0.048154367206068915
NBP,2021-02-16,data/simulated_trades_long/agent_features_NBP_2021-02-16.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.919000148773193,5.793000221252441,2021-02-17,-0.02151721053588629
NBP,2021-02-17,data/simulated_trades_long/agent_features_NBP_2021-02-17.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.793000221252441,6.14300012588501,2021-02-18,0.05866291236666821
NBP,2021-02-18,data/simulated_trades_long/agent_features_NBP_2021-02-18.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.14300012588501,5.900000095367432,2021-02-19,-0.04036087559857715
NBP,2021-02-19,data/simulated_trades_long/agent_features_NBP_2021-02-19.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.900000095367432,5.625,2021-02-22,-0.0477314189851612
NBP,2021-02-22,data/simulated_trades_long/agent_features_NBP_2021-02-22.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.625,5.736999988555908,2021-02-23,0.01971547553446329
