date,price,hub
2025-05-21,11.803999900817873,NBP
2025-05-22,11.654999732971191,NBP
2025-05-23,11.762999534606934,NBP
2025-05-27,11.960000038146973,NBP
2025-05-28,11.829999923706056,NBP
2025-05-29,11.21399974822998,NBP
2025-05-30,10.734000205993652,NBP
2025-06-02,11.043999671936035,NBP
2025-06-03,11.29699993133545,NBP
2025-06-04,11.31999969482422,NBP
2025-06-05,11.614999771118164,NBP
2025-06-06,11.48799991607666,NBP
2025-06-09,11.178999900817873,NBP
2025-06-10,10.881999969482422,NBP
2025-06-11,11.39799976348877,NBP
2025-06-12,11.541000366210938,NBP
2025-06-13,12.19499969482422,NBP
2025-06-16,12.11299991607666,NBP
2025-06-17,12.560999870300291,NBP
2025-06-18,12.281999588012695,NBP
2025-06-20,12.95199966430664,NBP
2025-06-23,12.878999710083008,NBP
2025-06-24,11.29300022125244,NBP
2025-06-25,11.265000343322754,NBP
2025-06-26,10.869999885559082,NBP
2025-06-27,10.793999671936035,NBP
2025-06-30,10.597999572753906,NBP
2025-07-01,10.89799976348877,NBP
2025-07-02,10.892000198364258,NBP
2025-07-03,10.907999992370604,NBP
2025-07-07,10.913000106811523,NBP
2025-07-08,11.071999549865724,NBP
2025-07-09,11.151000022888184,NBP
2025-07-10,11.41800022125244,NBP
2025-07-11,11.519000053405762,NBP
2025-07-14,11.467000007629396,NBP
2025-07-15,11.029999732971191,NBP
2025-07-16,11.211000442504885,NBP
2025-07-17,11.010000228881836,NBP
2025-07-18,10.776000022888184,NBP
2025-07-21,10.74899959564209,NBP
2025-07-22,10.77400016784668,NBP
2025-07-23,10.654999732971191,NBP
2025-07-24,10.571000099182127,NBP
2025-07-25,10.619999885559082,NBP
2025-07-28,10.6899995803833,NBP
2025-07-29,11.015000343322754,NBP
2025-07-30,11.479000091552734,NBP
2025-07-31,11.496000289916992,NBP
2025-08-01,11.128999710083008,NBP
2025-08-04,11.246999740600586,NBP
2025-08-05,11.282999992370604,NBP
2025-08-06,10.951000213623049,NBP
2025-08-07,10.866000175476074,NBP
2025-08-08,10.69200038909912,NBP
2025-08-11,10.89900016784668,NBP
2025-08-12,10.725000381469728,NBP
2025-08-13,10.934000015258787,NBP
2025-08-14,10.685999870300291,NBP
2025-08-15,10.371999740600586,NBP
2025-08-18,10.407999992370604,NBP
2025-08-19,10.37600040435791,NBP
2025-08-20,10.652000427246094,NBP
2025-08-21,11.076000213623049,NBP
2025-08-22,11.31999969482422,NBP
2025-08-25,11.300000190734863,NBP
2025-08-26,11.20699977874756,NBP
2025-08-27,10.829999923706056,NBP
2025-08-28,10.53600025177002,NBP
2025-08-29,10.520000457763672,NBP
2025-09-02,10.456000328063965,NBP
2025-09-03,10.54300022125244,NBP
2025-09-04,10.626999855041504,NBP
2025-09-05,10.534000396728516,NBP
2025-09-08,10.968000411987305,NBP
2025-09-09,10.9399995803833,NBP
2025-09-10,10.991000175476074,NBP
2025-09-11,10.743000030517578,NBP
2025-09-12,10.871000289916992,NBP
2025-09-15,10.675000190734863,NBP
2025-09-16,10.831000328063965,NBP
2025-09-17,10.86299991607666,NBP
2025-09-18,11.04800033569336,NBP
2025-09-19,10.795000076293944,NBP
2025-09-22,10.670000076293944,NBP
2025-09-23,10.866999626159668,NBP
2025-09-24,10.696000099182127,NBP
2025-09-25,10.821999549865724,NBP
2025-09-26,10.916999816894531,NBP
2025-09-29,11.24899959564209,NBP
2025-09-30,10.843000411987305,NBP
